ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad1,refId,sfxVariationId,stamina,mp,category,heroPoint,pad2,
270000100,Scourge Beast 100,70000,100,2,0,[0|0],7000100,0,0,0,7,0,[0|0]
270000101,Scourge Beast 101,70000,101,2,0,[0|0],7000101,0,0,0,6,0,[0|0]
270000110,Scourge Beast 110,70000,110,2,0,[0|0],7000110,0,0,0,6,0,[0|0]
270000111,Scourge Beast 111,70000,111,2,0,[0|0],7000111,0,0,0,6,0,[0|0]
270000120,Scourge Beast 120,70000,120,2,0,[0|0],7000120,0,0,0,6,0,[0|0]
270000130,Scourge Beast 130,70000,130,2,0,[0|0],7000130,0,0,0,6,0,[0|0]
270000140,Scourge Beast 140,70000,140,2,0,[0|0],7000140,0,0,0,6,0,[0|0]
270000150,Scourge Beast 150,70000,150,2,0,[0|0],7000150,0,0,0,6,0,[0|0]
270000160,Scourge Beast 160,70000,160,2,0,[0|0],7000160,0,0,0,7,0,[0|0]
270000161,Scourge Beast 161,70000,161,2,0,[0|0],7000161,0,0,0,6,0,[0|0]
270000162,Scourge Beast 162,70000,162,2,0,[0|0],7000162,0,0,0,7,0,[0|0]
270000163,Scourge Beast 163,70000,163,2,0,[0|0],7000163,0,0,0,6,0,[0|0]
270000164,Scourge Beast 164,70000,164,2,0,[0|0],7000164,0,0,0,7,0,[0|0]
270000165,Scourge Beast 165,70000,165,2,0,[0|0],7000165,0,0,0,6,0,[0|0]
270000166,Scourge Beast 166,70000,166,2,0,[0|0],7000166,0,0,0,6,0,[0|0]
270000170,Scourge Beast 170,70000,170,2,0,[0|0],7000170,0,0,0,6,0,[0|0]
270000180,Scourge Beast 180,70000,180,2,0,[0|0],7000180,0,0,0,6,0,[0|0]
270000200,Scourge Beast 200,70000,200,2,0,[0|0],7000200,0,0,0,6,0,[0|0]
270000201,Scourge Beast 201,70000,201,2,0,[0|0],7000201,0,0,0,6,0,[0|0]
270000202,Scourge Beast 202,70000,202,2,0,[0|0],7000202,0,0,0,7,0,[0|0]
270000203,Scourge Beast 203,70000,203,2,0,[0|0],7000203,0,0,0,6,0,[0|0]
270000900,Scourge Beast 900,70000,900,2,1,[0|0],7000900,0,0,0,6,0,[0|0]
270100100,Loran Cleric 100,70100,100,2,1,[0|0],7010100,0,0,0,6,0,[0|0]
270100101,Loran Cleric 101,70100,101,2,1,[0|0],7010101,0,0,0,6,0,[0|0]
270100110,Loran Cleric 110,70100,110,2,1,[0|0],7010110,0,0,0,6,0,[0|0]
270100111,Loran Cleric 111,70100,111,2,1,[0|0],7010111,0,0,0,6,0,[0|0]
270100120,Loran Cleric 120,70100,120,2,0,[0|0],7010120,0,0,0,6,0,[0|0]
270100121,Loran Cleric 121,70100,121,2,0,[0|0],7010121,0,0,0,6,0,[0|0]
270100130,Loran Cleric 130,70100,130,2,0,[0|0],7010130,0,0,0,6,0,[0|0]
270100140,Loran Cleric 140,70100,140,2,1,[0|0],7010140,0,0,0,6,0,[0|0]
270100141,Loran Cleric 141,70100,141,2,1,[0|0],7010141,0,0,0,6,0,[0|0]
270100200,Loran Cleric 200,70100,200,2,1,[0|0],7010200,0,0,0,6,0,[0|0]
270100210,Loran Cleric 210,70100,210,2,1,[0|0],7010210,0,0,0,6,0,[0|0]
270100220,Loran Cleric 220,70100,220,2,1,[0|0],7010220,0,0,0,6,0,[0|0]
270100300,Loran Cleric 300,70100,300,2,1,[0|0],7010300,0,0,0,6,0,[0|0]
270100301,Loran Cleric 301,70100,301,2,1,[0|0],7010301,0,0,0,6,0,[0|0]
270100302,Loran Cleric 302,70100,302,2,1,[0|0],7010302,0,0,0,6,0,[0|0]
270100303,Loran Cleric 303,70100,303,2,1,[0|0],7010303,0,0,0,6,0,[0|0]
270100304,Loran Cleric 304,70100,304,2,1,[0|0],7010304,0,0,0,6,0,[0|0]
270100305,Loran Cleric 305,70100,305,2,1,[0|0],7010305,0,0,0,6,0,[0|0]
270100306,Loran Cleric 306,70100,306,2,1,[0|0],7010306,0,0,0,6,0,[0|0]
270100310,Loran Cleric 310,70100,310,2,1,[0|0],7010310,0,0,0,6,0,[0|0]
270100400,Loran Cleric 400,70100,400,2,1,[0|0],7010400,0,0,0,6,0,[0|0]
270100410,Loran Cleric 410,70100,410,2,1,[0|0],7010410,0,0,0,6,0,[0|0]
270100420,Loran Cleric 420,70100,420,2,0,[0|0],7010420,0,0,0,6,0,[0|0]
270100430,Loran Cleric 430,70100,430,2,1,[0|0],7010430,0,0,0,6,0,[0|0]
270100440,Loran Cleric 440,70100,440,2,0,[0|0],7010440,0,0,0,6,0,[0|0]
270100450,Loran Cleric 450,70100,450,2,1,[0|0],7010450,0,0,0,6,0,[0|0]
270100460,Loran Cleric 460,70100,460,2,1,[0|0],7010460,0,0,0,6,0,[0|0]
270100470,Loran Cleric 470,70100,470,2,1,[0|0],7010470,0,0,0,6,0,[0|0]
270100480,Loran Cleric 480,70100,480,2,1,[0|0],7010480,0,0,0,6,0,[0|0]
270100490,Loran Cleric 490,70100,490,2,1,[0|0],7010490,0,0,0,6,0,[0|0]
270100900,Loran Cleric 900,70100,900,2,1,[0|0],7010900,0,0,0,6,0,[0|0]
270500100,Chime Maiden 100,70500,100,2,0,[0|0],7050100,0,0,0,6,0,[0|0]
270500110,Chime Maiden 110,70500,110,2,0,[0|0],7050110,0,0,0,6,0,[0|0]
270500120,Chime Maiden 120,70500,120,2,0,[0|0],7050120,0,0,0,6,0,[0|0]
270500130,Chime Maiden 130,70500,130,2,0,[0|0],7050130,0,0,0,6,0,[0|0]
270500140,Chime Maiden 140,70500,140,2,1,[0|0],7050140,0,0,0,6,0,[0|0]
270500150,Chime Maiden 150,70500,150,2,0,[0|0],7050150,0,0,0,6,0,[0|0]
270500151,Chime Maiden 151,70500,151,2,0,[0|0],7050151,0,0,0,6,0,[0|0]
270500200,Chime Maiden 200,70500,200,2,1,[0|0],7050200,0,0,0,6,0,[0|0]
270500250,Chime Maiden 250,70500,250,2,1,[0|0],7050250,0,0,0,6,0,[0|0]
270500600,Chime Maiden 600,70500,600,2,1,[0|0],7050600,0,0,0,6,0,[0|0]
270500601,Chime Maiden 601,70500,601,2,1,[0|0],7050601,0,0,0,6,0,[0|0]
270500602,Chime Maiden 602,70500,602,2,1,[0|0],7050602,0,0,0,6,0,[0|0]
270500700,Chime Maiden 700,70500,700,2,1,[0|0],7050700,0,0,0,6,0,[0|0]
270500701,Chime Maiden 701,70500,701,2,1,[0|0],7050701,0,0,0,6,0,[0|0]
270500800,Chime Maiden 800,70500,800,2,1,[0|0],7050800,0,0,0,6,0,[0|0]
270500900,Chime Maiden 900,70500,900,2,1,[0|0],7050900,0,0,0,6,0,[0|0]
270600100,Brainsucker 100,70600,100,2,0,[0|0],7060100,0,0,0,6,0,[0|0]
270600110,Brainsucker 110,70600,110,2,0,[0|0],7060110,0,0,0,6,0,[0|0]
270600120,Brainsucker 120,70600,120,2,0,[0|0],7060120,0,0,0,6,0,[0|0]
270600130,Brainsucker 130,70600,130,2,0,[0|0],7060130,0,0,0,6,0,[0|0]
270600140,Brainsucker 140,70600,140,2,0,[0|0],7060140,0,0,0,6,0,[0|0]
270600150,Brainsucker 150,70600,150,2,0,[0|0],7060150,0,0,0,6,0,[0|0]
270600151,Brainsucker 151,70600,151,2,0,[0|0],7060151,0,0,0,6,0,[0|0]
270600152,Brainsucker 152,70600,152,2,0,[0|0],7060152,0,0,0,6,0,[0|0]
270600153,Brainsucker 153,70600,153,2,0,[0|0],7060153,0,0,0,6,0,[0|0]
270600154,Brainsucker 154,70600,154,2,0,[0|0],7060154,0,0,0,6,0,[0|0]
270600160,Brainsucker 160,70600,160,2,1,[0|0],7060160,0,0,0,6,0,[0|0]
270600161,Brainsucker 161,70600,161,2,1,[0|0],7060161,0,0,0,6,0,[0|0]
270600170,Brainsucker 170,70600,170,2,1,[0|0],7060170,0,0,0,6,0,[0|0]
270600171,Brainsucker 171,70600,171,2,1,[0|0],7060171,0,0,0,6,0,[0|0]
270600180,Brainsucker 180,70600,180,2,0,[0|0],7060180,0,0,0,6,0,[0|0]
